Name,Epoch,mAP,mAP@50,mAP@75,mAP_S,mAP-M,mAP-L
backbone_0.5-rpn_1.5,12,0.409,0.618,0.447,0.255,0.454,0.524
backbone_0.5-rpn_2.0,12,0.409,0.617,0.447,0.25,0.453,0.527
backbone_1.0-rpn_0.5,12,0.407,0.616,0.445,0.246,0.452,0.516
backbone_1.0-rpn_1.5,12,0.41,0.617,0.449,0.244,0.454,0.529
backbone_0.5-rpn_0.5,12,0.408,0.615,0.442,0.246,0.452,0.526
backbone_0.5-rpn_1.0,12,0.41,0.618,0.448,0.25,0.454,0.525
backbone_1.0-rpn_2.0,12,0.409,0.616,0.448,0.251,0.452,0.525
backbone_1.5-rpn_0.5,12,0.408,0.616,0.446,0.247,0.455,0.521
backbone_1.5-rpn_1.5,12,0.41,0.618,0.446,0.253,0.453,0.526
backbone_1.0-rpn_1.0,12,0.409,0.616,0.448,0.244,0.453,0.524
backbone_1.5-rpn_1.0,12,0.409,0.617,0.447,0.253,0.454,0.525
backbone_1.5-rpn_2.0,12,0.41,0.618,0.448,0.247,0.453,0.524
backbone_2.0-rpn_0.5,12,0.41,0.616,0.447,0.249,0.456,0.521
backbone_2.0-rpn_1.0,12,0.408,0.615,0.445,0.254,0.453,0.522
backbone_2.0-rpn_1.5,12,0.408,0.617,0.444,0.251,0.452,0.523
backbone_2.0-rpn_2.0,12,0.409,0.616,0.446,0.253,0.453,0.523
rpn_1.0-minLR_0.4,12,0.407,0.616,0.444,0.252,0.452,0.522
rpn_1.0-minLR_0.6,12,0.41,0.618,0.447,0.248,0.453,0.527
rpn_1.0-minLR_0.8,12,0.407,0.614,0.445,0.239,0.454,0.521
